MatchID,StartingXI
1,"Stephen Sallee,Porter Harris,David Larson,Julius Skinner,Gerald Nelson,Sammie Anderson,Josh Fritz,Michael Winters,Sidney Bell,Johnny Parker,Edgar Gunter"
1,"Anthony Jennings,Jose McRay,Antonio Carver,Scott Rosenberg,Robert Compton,Darin Pipkin,Matthew Cabezas,Herb Escobar,Raymond Davis,Joseph Thompson,David Hartman"
2,"Daniel Enriquez,Edwin Brown,Luis Lewis,Donald Talley,Johnathon Bickham,Michael Yang,Columbus Leblanc,Gary Nichols,Richard Gutierrez,Roberto Berry,Jeffrey Bachelder"
2,"Ronald Martinez,Robert Locklear,Jerry Moeller,Henry Houle,Sonny Lydon,Robert Jameson,Harry Pope,Anthony Hartwell,Ronald Benson,Patrick Tillman,Archie Hartley"
3,"Craig Littleton,Fred Burley,Ricky Yates,Jose Vega,Ralph Porter,Charles Gordon,Joseph Goff,Matthew Morgan,Thomas Do,Michael McNeil,Robin Sellers"
3,"John Crouch,Steven Moeller,Alfred Paradis,Craig Saleem,Matthew Harris,Charles Spillman,John McIntyre,Danny Sharp,Michael Wheeler,Edward Diaz,Isidro Swanson"
4,"Michael Smith,James Alvarez,John Russell,Ted Williams,Kevin Hershey,Andrew Berry,Chad Gillam,Ray Brown,William Griffith,Howard Maynard,Chris Blough"
4,"Lionel Miller,Floyd Pope,John King,Alfred Edwards,Joseph Bowman,Earl Cook,Amos Wilson,Weldon Pasley,William Morris,Richard Todd,Elmer Barfield"
5,"Rick Fernandez,Robert Mendez,Thomas Bonner,Randall Wilson,Matthew Cook,Douglas Shepherd,Jonah Ruffin,Thomas McGowan,Vincent Ray,James Savage,Kenneth Schaeffer"
5,"Joseph Toscano,Joaquin Lewis,Daryl Apodaca,Rick Franklin,Nicholas Houston,Dewey White,Jimmy Jordan,Brandon Hamilton,Walter Carter,Steve Brown,Michael Mason"
6,"Brent Wiley,Kirby Radford,Jim Thomas,John Davis,John Miraglia,Gregory Case,Charles Walters,George Adams,Charles Pesce,Robert Fain,Darrell Crump"
6,"Jamey Wagner,James Sandlin,Omar Thomas,Jeffrey Smith,Jordan West,Robert Garwood,Brett Kalinowski,Doyle McGlynn,Luke Keller,Simon Fetters,Keith Harton"
7,"Robert Pratt,Darius Williams,Adam McWhorter,Javier Sano,Gary Harris,Todd Gibbons,Vincent Murphy,Brian Whitten,William Phillips,William Nicola,Kevin Stafford"
7,"Wallace Archer,Robt Mendez,John Howard,Keith Greene,Sean McCall,John Hernandez,James Barnes,William Padgett,John Orr,Jim Houser,Raul Young"
8,"Cory Friend,Henry Oakley,Alan Bacchus,Kevin Smith,Floyd Hurt,Ted Figueroa,Donald Mullin,Robert Obrien,David Crowley,George Webb,Mark Grandstaff"
8,"Fredrick Bell,Greg Gibbons,Mark McCulley,Kenneth Riley,William Stephens,Mark Cook,John Rich,Eugene Ayers,Shane Turner,Harry Skinner,Timothy Howard"
9,"Daniel Davila,David McFall,Calvin Cox,John Hower,David Summers,Kenneth Puckett,William Wilburn,George Stein,Tony Remley,Allen Rodriguez,Edward Horton"
9,"Wayne Nickel,Robert Petersen,Jerome Washington,Thomas Morris,Clayton Faust,Mike Knight,Joan McCrary,Michael Stark,Alan Denton,Leon George,Anthony Mayville"
10,"John Danner,Evan Grant,Jules Fultz,Albert Moss,Dwayne Searfoss,Steven Warren,Peter Jones,Juan Jones,John Douglas,Sam Johnson,David Coats"
10,"Jerry Calderon,Scott Stewart,Steve Ledesma,Daniel Callahan,Peter Hess,Michael Arnold,Charles Elmer,Richard Federico,Leland Crisp,Kevin Sherman,Michael Houser"
11,"Sidney Salley,Ronald Maas,Micheal Eskridge,Ricardo Miller,Russell Thomas,Frederick Walker,George Boudreaux,Fred Williams,Michael Moore,Jacob Ramirez,James Jones"
11,"Jeffrey Johnson,Carlos Walton,Christopher Graves,Michael Johnson,John Albers,Robert Ward,Michael Suhr,Dennis Johnson,Alfredo Mills,Michael Joyce,Benjamin Shives"
12,"Timothy Hart,Bradley Manzano,Douglas Logan,Robert Tyler,Richard Messina,Lester Mouton,Joseph Dunn,Willie Westbrook,Jeremy Miller,Robert Myles,Christopher Younkin"
12,"Loren Varner,William Weddington,Darrel Behling,Edward Brown,Charles Akins,John Clark,Joseph Lee,Mario Gray,Dennis Gregory,Fred Williams,Edwin Rivera"
13,"Carl Crawford,Charles Lynn,Howard Harris,John Shields,Edmond Threlkeld,Matthew Glowacki,Rodney Brooks,Jean Holm,Robert Vasquez,Dick Peachey,Robert Pitts"
13,"Russell Pouncy,Robert Samson,Stanley William,Craig Ingram,William Harpe,Dean Patel,Sidney Dipalma,Jerry Gallegos,Cody Cawley,Luther Jeanlouis,Omar Pridmore"
14,"Kevin Glover,Britt Collins,Troy Duquette,Steven Smith,Bryon Pierce,Wayne Bowen,Don Perry,Cecil Durham,Manuel Poteat,Larry Cotter,Lester Harvey"
14,"Charles Sanchez,Stacey Radabaugh,Edward Meraz,Frank Singleton,Albert Roark,James Duncan,Douglas Lamphear,William Wilson,William Ward,Donald Birney,Raymond Gonzalez"
15,"Brent Wiley,Shawn Carr,Michael Gallardo,Kirby Radford,George Adams,Gregory Case,Peter Salas,Charles Pesce,David Ehrlich,Vincent Gore,Darrell Crump"
15,"Odell Williams,Jose McRay,Robert Compton,Jason Kearns,Antonio Carver,Matthew Cabezas,Vincent Woodby,Jerry Leduc,Herb Escobar,Ralph Stine,Raymond Davis"
16,"Karl Hollingsworth,Adam McWhorter,Javier Sano,Rory Noga,Darius Williams,Timmy Gonzalez,Nicholas Caulkins,Gary Harris,Brian Whitten,Kevin Stafford,Robert Marcello"
16,"Maurice Troutman,Emil Hollins,Robert Mendez,David Bryer,Gabriel Barnett,Thomas McGowan,Owen Roussel,Barry Wagner,Jonah Ruffin,Kenneth Morado,James Savage"
17,"Cory Friend,Donald Cintron,Henry Oakley,David Rosenbaum,William Flanagan,Robert Obrien,Matthew Edwards,David Lapierre,David Crowley,George Webb,Richard Zuniga"
17,"Stanley May,James Alvarez,Rodney Drake,Robert Graves,Kevin Hershey,Frank McCullough,Aaron Hyatt,Chad Gillam,Earl White,Howard Maynard,Chris Blough"
18,"John Krueger,John Hower,Robert Medrano,Danny Harris,David McFall,Tony Remley,Ricky Johnson,William Wilburn,Herman Wall,Edward Horton,Willie McCorkle"
18,"Steven Moore,Ricky Yates,Walker Wyatt,Jose Vega,Ralph Porter,Charles Gordon,Thomas Do,Michael McDaniel,Don Oliver,Eric Coyne,Robert Schaub"
19,"John Danner,Joe Morris,Dwayne Searfoss,Thomas Graves,David Mares,Terry Robinson,Steven Warren,Darrell Vargas,Sam Johnson,David Coats,Thurman Finley"
19,"Robert Basile,Luis Lewis,Philip Maldonado,Donald Talley,Richard Gutierrez,Michael Yang,Philip Maupin,Gary Nichols,Jason Urban,Gary Owens,Jeffrey Bachelder"
20,"Sidney Salley,Ricardo Miller,Fred Pinkerton,Micheal Eskridge,Russell Thomas,Brian Blanchard,Michael Lymon,Joseph Brauer,Walter George,Alex Trevino,Michael Moore"
20,"Cleveland Hinrichs,Clayton Davis,David Kopec,Gerald Nelson,Elmer Hancock,Sammie Anderson,Josh Fritz,Jeff Contreras,Robert Shaffer,Tony Graham,Sidney Bell"
21,"Christian Wheeler,Lee Stewart,James Taylor,John James,Douglas Logan,Richard Messina,Richard Kidd,Aaron Norwood,Thomas McChristian,Byron Benson,Michael Hubbard"
21,"Ronald Martinez,Sonny Lydon,Jack Knapp,Glenn Gallegos,Henry Houle,Ronald Stein,Dominique Webb,Robert Jameson,Ronald Caudillo,Archie Hartley,Gregory Splawn"
22,"David Bailey,Howard Harris,Edmond Threlkeld,Charles Hudson,Charles Lynn,Lance Silvera,Matthew Glowacki,John Ostlund,Larry Velasquez,Dick Peachey,Roland Austin"
22,"John Crouch,Steven Moeller,Brandon Bartlett,Lewis Hawthorne,John McIntyre,Matthew Harris,Reynaldo Hawkins,Robert Riccardi,Danny Sharp,Hugh Thomson,Terry Hill"
23,"Kevin Glover,Santiago Harvey,Bryon Pierce,Troy Duquette,Britt Collins,Sheldon Ballard,Michael Dew,Don Perry,Lionel Weidman,Manuel Poteat,David Case"
23,"Frank Greene,Jacob Winchester,Michael Markham,John King,Max Williams,Weldon Pasley,William Morris,Amos Wilson,Dominic Moore,Erik Briggs,Elmer Barfield"
24,"Charles Sanchez,Edward Meraz,Stacey Radabaugh,Cameron Scales,Milton McManus,William Ward,John Risley,James Duncan,Santos Darnell,Raymond Gonzalez,Johnny Gordon"
